# data extracted from:
#   https://astrodon.com/products/astrodon-photometrics-sloan-filters/
#   https://astrodon.com/wp-content/uploads/2018/05/4047711_orig.jpg
# padded with two zero values at low and high wavelength ends

lambda_nm, percent_transmittance
557.0, 0.0
558.0, 0.0
558.7054109362427, 0.39633361789728383
561.7574616349222, 27.439822889563303
563.6690779718895, 67.11909614858324
565.2702608866142, 85.73934212622386
565.3650247734041, 92.16788729632913
566.724396390803, 94.38425939163218
569.4169978637279, 97.0436118111748
580.0468917853598, 98.14904071987877
593.3171036561705, 98.36703850599831
611.8940931872118, 98.58356581801249
627.8144261679037, 98.57915439569642
646.3848802584766, 98.35233376494472
660.981786544345, 98.56996393253792
674.2454629746875, 98.34461377589157
687.5091394050299, 98.11926361924525
695.449699573971, 6.787014079789543
697.3449773097677, 0.35791748189475925
698.0, 0.0
699.0, 0.0
