# data extracted from:
#   https://www.noao.edu/kpno/mosaic/manual/
#   https://www.noao.edu/kpno/mosaic/images/MosaFiltersGdRdZd.jpg

lambda_angstrom, percent_transmission
5594.0, 0.0
5595.0, 0.0
5596.3302752293575, 0.3997744861872832
5623.853211009175, 1.5183742504228377
5637.614678899083, 3.4743221772333612
5651.376146788991, 7.944236584490795
5665.137614678899, 16.883424734765
5678.899082568807, 33.92317154425709
5692.660550458715, 58.2254881861514
5706.422018348623, 71.07529086156526
5720.183486238532, 83.36643431910204
5733.94495412844, 89.51232637999078
5747.706422018348, 94.82022961406386
5761.467889908257, 96.49684793193583
5788.9908256880735, 97.6154476961714
5830.275229357798, 98.4553585157091
5885.321100917431, 98.31825636820255
5933.486238532109, 99.01882271539132
5967.8899082568805, 98.1824355491774
6002.293577981652, 97.34604838296346
6029.816513761467, 98.18531853826047
6064.220183486239, 99.02490902567783
6091.743119266055, 97.90887191840501
6119.266055045871, 96.93249961560146
6174.311926605504, 98.0523807083184
6215.596330275229, 97.07664906975553
6256.880733944954, 95.9612526267234
6284.40366972477, 96.80052278202041
6311.926605504586, 97.63979293731742
6325.688073394495, 98.47842242837375
6366.97247706422, 99.0390036389729
6408.256880733945, 98.90126082722567
6463.302752293577, 98.48482907078059
6490.825688073394, 98.20678079032342
6532.1100917431195, 98.62769719645328
6573.394495412844, 99.04861360258316
6614.678899082569, 98.49187637742813
6655.963302752294, 98.49379837015017
6697.247706422018, 99.05437958074933
6738.532110091743, 98.77697196453283
6779.816513761468, 98.49956434831634
6834.8623853211, 99.06078622315617
6903.6697247706425, 99.0639895443596
6944.954128440367, 98.78658192814311
7000, 98.78914458510584
7027.522935779816, 97.67310747783303
7041.284403669724, 96.27710009738097
7055.045871559632, 93.48444467223618
7068.80733944954, 87.89849315770591
7082.568807339449, 79.79857516272872
7096.3302752293575, 70.02267951412024
7110.091743119266, 53.26354364204808
7123.853211009174, 42.64965916662396
7151.376146788991, 21.98054943365281
7165.137614678899, 14.439290656552714
7178.899082568807, 11.08797601353082
7192.660550458715, 6.8986725436933085
7206.422018348623, 4.944005945364154
7220.183486238532, 3.2686689559735527
7233.94495412844, 2.431320793398598
7254.587155963302, 1.5942929629439817
7260.0, 0.0
7261.0, 0.0
