# data extracted from Figure 5 of CI CCD data sheet
# https://www.onsemi.com/pub/Collateral/KAF-6303-D.PDF

lambda_nm, qe
400.5623901581722, 0.3001357466063349
402.8822495606327, 0.3053619909502263
405.20210896309317, 0.3120814479638009
407.5219683655536, 0.3195475113122172
409.84182776801407, 0.3255203619909503
414.481546572935, 0.32104072398190053
419.701230228471, 0.31506787330316743
422.60105448154656, 0.32253393665158375
424.92091388400706, 0.33000000000000007
428.40070298769774, 0.3389592760180996
431.8804920913884, 0.34791855203619915
435.3602811950791, 0.35389140271493214
440, 0.36135746606334845
442.31985940246045, 0.36733031674208144
443.4797891036907, 0.3718099547511312
445.79964850615113, 0.37927601809954753
448.1195079086116, 0.38524886877828063
450.43936731107203, 0.3912217194570136
452.7592267135325, 0.40018099547511315
455.07908611599294, 0.4091402714932127
457.3989455184534, 0.41809954751131223
460.87873462214407, 0.4300452488687783
462.03866432337435, 0.4375113122171946
464.3585237258348, 0.4479638009049774
466.67838312829525, 0.4599095022624434
467.8383128295255, 0.47036199095022624
468.9982425307557, 0.4763348416289593
475.95782073813706, 0.48081447963800905
479.4376098418278, 0.4823076923076923
481.75746924428825, 0.474841628959276
482.91739894551847, 0.46886877828054296
485.2372583479789, 0.4599095022624434
486.39718804920915, 0.45244343891402716
488.1370826010545, 0.4434841628959276
489.8769771528998, 0.4375113122171946
495.67662565905096, 0.4345248868778281
500.31634446397186, 0.4315384615384616
503.79613356766254, 0.43601809954751136
507.2759226713532, 0.44049773755656113
509.5957820738137, 0.4449773755656109
511.9156414762742, 0.45244343891402716
514.2355008787346, 0.46289592760181
516.5553602811951, 0.4763348416289593
520.0351493848857, 0.4897737556561086
525.8347978910369, 0.4987330316742081
532.7943760984183, 0.5091855203619909
539.7539543057997, 0.5181447963800905
544.3936731107206, 0.533076923076923
546.713532513181, 0.5405429864253394
550.1933216168717, 0.5509954751131222
552.5131810193321, 0.5599547511312217
554.8330404217926, 0.567420814479638
560.6326889279437, 0.5868325791855203
558.3128295254833, 0.5778733031674208
562.9525483304042, 0.6002714932126697
566.432337434095, 0.6181900452488688
568.7521968365554, 0.6346153846153846
573.3919156414763, 0.6495475113122172
576.8717047451669, 0.6629864253393665
580.3514938488577, 0.6734389140271493
584.9912126537786, 0.6689592760180996
589.6309314586995, 0.6644796380090497
593.1107205623902, 0.6555203619909502
596.5905096660808, 0.6450678733031674
598.9103690685413, 0.6376018099547511
603.5500878734622, 0.6301357466063349
609.3497363796134, 0.6211764705882352
612.829525483304, 0.6286425339366516
616.3093145869948, 0.6390950226244344
619.7891036906854, 0.6480542986425339
622.1089630931458, 0.6405882352941177
625.5887521968366, 0.6301357466063349
627.908611599297, 0.6226696832579186
629.6485061511423, 0.6166968325791855
636.0281195079086, 0.625656108597285
641.8277680140598, 0.6361085972850679
646.4674868189807, 0.6435746606334841
651.1072056239016, 0.6525339366515837
655.7469244288225, 0.6585067873303168
659.226713532513, 0.6644796380090497
665.0263620386643, 0.6585067873303168
669.6660808435852, 0.6525339366515837
671.9859402460456, 0.6435746606334841
674.3057996485061, 0.6346153846153846
676.6256590509665, 0.6271493212669683
678.945518453427, 0.6181900452488688
680.1054481546573, 0.6107239819004525
682.4253075571178, 0.5942986425339367
683.5852372583479, 0.5853393665158371
685.9050966608083, 0.5689140271493213
687.0650263620387, 0.5569683257918552
688.2249560632689, 0.5495022624434389
689.3848857644991, 0.5405429864253394
695.1845342706503, 0.5435294117647058
699.8242530755712, 0.5465158371040724
702.1441124780316, 0.5375565610859728
703.3040421792618, 0.5315837104072398
705.6239015817223, 0.521131221719457
707.9437609841827, 0.5121719457013574
710.2636203866432, 0.503212669683258
714.9033391915641, 0.5061990950226245
719.543057996485, 0.5091855203619909
724.1827768014059, 0.5091855203619909
728.8224956063268, 0.5091855203619909
734.622144112478, 0.503212669683258
739.261862917399, 0.49723981900452485
741.5817223198594, 0.4867873303167421
743.9015817223199, 0.4763348416289593
746.2214411247803, 0.4643891402714932
748.5413005272408, 0.45244343891402716
749.701230228471, 0.4464705882352941
753.1810193321617, 0.44049773755656113
756.6608084358523, 0.4330316742081448
760.140597539543, 0.4270588235294118
762.4604569420035, 0.416606334841629
765.9402460456942, 0.40615384615384614
769.4200351493848, 0.39420814479638017
772.8998242530755, 0.3822624434389141
775.2196836555361, 0.37330316742081454
777.5395430579964, 0.364343891402715
779.859402460457, 0.35538461538461547
782.1792618629174, 0.3464253393665158
784.4991212653779, 0.3374660633484163
786.8189806678383, 0.3270135746606335
790.2987697715289, 0.31656108597285065
796.0984182776801, 0.32253393665158375
799.5782073813707, 0.3255203619909503
804.2179261862917, 0.32104072398190053
810.0175746924428, 0.31506787330316743
814.6572934973638, 0.31506787330316743
819.2970123022847, 0.31506787330316743
825.0966608084359, 0.318054298642534
829.7363796133568, 0.32104072398190053
834.3760984182777, 0.3120814479638009
836.6959578207382, 0.3076018099547511
840.1757469244287, 0.3023755656108597
849.4551845342705, 0.30312217194570135
855.2548330404218, 0.29565610859728514
862.2144112478031, 0.2866968325791856
870.3339191564146, 0.27624434389140273
876.1335676625658, 0.26579185520362003
881.9332161687171, 0.25384615384615394
886.572934973638, 0.2448868778280544
890.0527240773285, 0.23742081447963803
894.6924428822495, 0.22547511312217194
898.1722319859402, 0.2165158371040724
902.8119507908611, 0.20457013574660632
906.2917398945517, 0.19262443438914034
909.7715289982425, 0.18217194570135753
915.5711775043937, 0.173212669683258
923.6906854130052, 0.1612669683257919
931.8101933216169, 0.14932126696832582
939.9297012302284, 0.14036199095022628
